fight_id,fighter_id,fighter,kd,sub_att,rev,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,ctrl_seconds
b46f2f007b622bce,1338e2c7480bdf9e,Israel Adesanya,0,0,0,48.0,132.0,48.0,132.0,0.0,0.0,14.0,81.0,9.0,22.0,25.0,29.0,48.0,132.0,0.0,0.0,0.0,0.0,0.0
b46f2f007b622bce,f77c68bb4be8516d,Yoel Romero,0,0,0,40.0,89.0,40.0,89.0,0.0,3.0,20.0,58.0,7.0,13.0,13.0,18.0,35.0,82.0,5.0,7.0,0.0,0.0,0.0
58112f9fc0058e68,bda04c573563cc2e,Todd Duffee,1,0,0,8.0,16.0,8.0,16.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,2.0,2.0,2.0
58112f9fc0058e68,c727c7d31c50c4cf,Anthony Hamilton,0,0,0,2.0,6.0,2.0,6.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
b279559f15ecf29b,84b3e7d38f2d2ec5,Neil Magny,0,1,0,57.0,109.0,106.0,169.0,5.0,7.0,38.0,85.0,16.0,21.0,3.0,3.0,46.0,94.0,10.0,14.0,1.0,1.0,248.0
b279559f15ecf29b,8a1f3b5c526cd6e6,Daniel Rodriguez,0,0,0,66.0,108.0,71.0,113.0,0.0,1.0,36.0,76.0,15.0,17.0,15.0,15.0,63.0,103.0,3.0,3.0,0.0,2.0,76.0
e90dd017386025c4,b7d524c77c27389b,Marcus Davis,0,0,0,59.0,166.0,73.0,180.0,0.0,1.0,29.0,122.0,27.0,40.0,3.0,4.0,53.0,154.0,6.0,12.0,0.0,0.0,7.0
e90dd017386025c4,91acd6910b802a9e,Chris Lytle,0,0,0,73.0,198.0,91.0,216.0,0.0,0.0,34.0,150.0,14.0,19.0,25.0,29.0,58.0,167.0,15.0,31.0,0.0,0.0,3.0
35addc4646509286,b671bdf981ad527d,HyunSung Park,2,0,0,50.0,124.0,65.0,154.0,0.0,1.0,33.0,101.0,11.0,15.0,6.0,8.0,36.0,88.0,6.0,14.0,8.0,22.0,201.0
35addc4646509286,51c655162e462ceb,Shannon Ross,0,0,0,47.0,115.0,61.0,135.0,0.0,0.0,25.0,88.0,9.0,12.0,13.0,15.0,46.0,107.0,1.0,8.0,0.0,0.0,0.0
6ad594777cce2d7d,8e9eb3fc86db0f7d,Marc-Andre Barriault,0,0,0,7.0,11.0,13.0,17.0,0.0,0.0,6.0,10.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,9.0,0.0,0.0,1.0
6ad594777cce2d7d,71505842fb6455c3,Dustin Stoltzfus,1,1,0,13.0,20.0,23.0,32.0,0.0,0.0,11.0,17.0,1.0,2.0,1.0,1.0,2.0,5.0,7.0,10.0,4.0,5.0,234.0
f882cf76a8bce308,cf946e03ba2e7666,Kevin Aguilar,0,0,0,9.0,28.0,9.0,28.0,0.0,0.0,4.0,22.0,3.0,4.0,2.0,2.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0
f882cf76a8bce308,aceffa19749c4dc0,Zubaira Tukhugov,2,0,0,28.0,36.0,28.0,37.0,0.0,0.0,26.0,34.0,2.0,2.0,0.0,0.0,15.0,22.0,0.0,0.0,13.0,14.0,9.0
9cdfcd164b48f55e,cd7763bcadb5d4c8,Alan Patrick,0,0,0,10.0,32.0,14.0,39.0,0.0,4.0,5.0,25.0,5.0,7.0,0.0,0.0,7.0,29.0,3.0,3.0,0.0,0.0,2.0
9cdfcd164b48f55e,f6ad6a1e4d600e0d,Mason Jones,0,0,0,46.0,85.0,57.0,100.0,2.0,3.0,32.0,67.0,13.0,17.0,1.0,1.0,11.0,37.0,9.0,13.0,26.0,35.0,221.0
c1843fa8f113d321,b959e8c7fd8390d2,Kyle Kingsbury,1,0,0,9.0,13.0,12.0,16.0,0.0,0.0,5.0,9.0,3.0,3.0,1.0,1.0,2.0,3.0,5.0,6.0,2.0,4.0,7.0
c1843fa8f113d321,744e098e065cfdbe,Ricardo Romero,0,0,0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
f70c817388602681,f1b2aa7853d1ed6e,Kamaru Usman,0,0,0,83.0,135.0,189.0,247.0,5.0,12.0,61.0,109.0,17.0,21.0,5.0,5.0,46.0,85.0,15.0,22.0,22.0,28.0,636.0
f70c817388602681,f1fac969a1d70b08,Leon Edwards,1,1,0,55.0,75.0,64.0,85.0,1.0,5.0,20.0,38.0,22.0,24.0,13.0,13.0,42.0,62.0,7.0,7.0,6.0,6.0,176.0
9900550cc697eef2,b1a3e0aca758b322,Derek Brunson,0,0,0,27.0,45.0,53.0,71.0,0.0,1.0,26.0,44.0,1.0,1.0,0.0,0.0,7.0,14.0,19.0,29.0,1.0,2.0,91.0
9900550cc697eef2,d156513a19acf856,Sam Alvey,0,0,0,4.0,11.0,6.0,13.0,0.0,0.0,2.0,9.0,2.0,2.0,0.0,0.0,2.0,6.0,2.0,5.0,0.0,0.0,0.0
0f2983fe7753403f,cd3d7e37ff2d679c,Ricky Turcios,0,1,3,68.0,115.0,170.0,224.0,2.0,5.0,65.0,112.0,1.0,1.0,2.0,2.0,28.0,63.0,5.0,11.0,35.0,41.0,377.0
