fight_id,muay_thai_A,muay_thai_B,boxing_A,boxing_B,wrestling_A,wrestling_B,grappling_A,grappling_B,pace_A,pace_B,td_success_A,td_success_B,ctrl_share_A,ctrl_share_B,n_fights_norm_A,n_fights_norm_B,muay_thai_diff,muay_thai_inter,boxing_diff,boxing_inter,wrestling_diff,wrestling_inter,grappling_diff,grappling_inter,pace_diff,pace_inter,td_success_diff,td_success_inter,ctrl_share_diff,ctrl_share_inter,n_fights_norm_diff,n_fights_norm_inter,y
0005e00b07cee542,0.3522525727748871,0.1822963654994964,0.2930821478366852,0.534711480140686,0.2076544314622879,0.107750192284584,0.1470109522342682,0.175241932272911,8.021578296689656,16.364588607327008,0.0702428006775832,0.0458913649025069,24.16363636363636,2.342250086782772,1.0,0.8,0.16995620727539068,0.06421436375470878,-0.24162933230400085,0.1567143890725653,0.0999042391777039,0.022374804918807494,-0.0282309800386428,0.025762483334813777,-8.343010310637352,131.26982880678912,0.024351435775076306,0.0032235379976690297,21.821386276853588,56.59727936971461,0.19999999999999996,0.8,1
00414fc5519233b4,0.0911438018083572,0.259874165058136,0.2728801667690277,0.185225561261177,0.1645795851945877,0.2135206162929535,0.4713964462280273,0.3413796722888946,5.791461345728589,2.814603827273608,0.1333333333333333,0.1578406966263678,15.876578458340076,14.452937048872602,1.0,0.5,-0.1687303632497788,0.023685919395171052,0.0876546055078507,0.05054438204683674,-0.048941031098365784,0.03514113445998701,0.1300167739391327,0.16092516433147347,2.976857518454981,16.300669269194845,-0.02450736329303449,0.021045426216849034,1.4236414094674732,229.46318900987595,0.5,0.5,0
00494c77d2a88f8c,0.2339681982994079,0.2260682731866836,0.2114022672176361,0.5188727378845215,0.2256755977869033,0.1070126593112945,0.3289538919925689,0.1480463445186615,6.090493138055657,13.81135734072022,0.1497681888457406,0.15,22.48888888888889,13.827008310249308,0.9,0.4,0.007899925112724304,0.052892786570146705,-0.3074704706668854,0.10969087318621007,0.1186629384756088,0.02415014586084261,0.18090754747390742,0.04870042122468642,-7.720864202664562,84.11797711089112,-0.00023181115425938148,0.02246522832686109,8.661880578639582,310.95405355494,0.5,0.36000000000000004,1
00742aea8da72a35,0.275899738073349,0.2104145288467407,0.4047946035861969,0.1606617420911789,0.1801456809043884,0.174391284584999,0.1391600221395492,0.4545325040817261,10.78526315789474,1.9162995594713657,0.1052631578947368,0.0,13.04,1.7841409691629957,0.5,0.2,0.0654852092266083,0.058053313395642896,0.244132861495018,0.06503500620126657,0.005754396319389399,0.03141583670535562,-0.3153724819421769,0.06325275333115774,8.868963598423374,20.66779503825644,0.1052631578947368,0.0,11.255859030837003,23.265198237885464,0.3,0.1,1
0096879f5708526b,0.381472498178482,0.2768195867538452,0.3097749948501587,0.3336286842823028,0.1792846322059631,0.2625260949134826,0.1294677555561065,0.127025619149208,10.428642209572,11.514285714285712,0.0666666666666666,0.0857142857142857,17.433333333333334,27.000000000000004,0.6,0.7,0.10465291142463679,0.10559905930372436,-0.02385368943214411,0.10334982395541557,-0.0832414627075195,0.047066894371031495,0.0024421364068984985,0.016445721809372746,-1.0856435047137118,120.07836601307187,-0.019047619047619105,0.005714285714285707,-9.56666666666667,470.70000000000005,-0.09999999999999998,0.42,1
009feda296ae589c,0.0890786275267601,0.1688339412212371,0.3561877906322479,0.1423830091953277,0.4195263981819153,0.3605446815490722,0.1352071017026901,0.328238308429718,15.440625,9.441698841698845,0.38515625,0.305019305019305,28.25,37.08571428571428,0.8,0.7,-0.079755313694477,0.015039495763921489,0.21380478143692022,0.050715089468854814,0.05898171663284307,0.1512580116339279,-0.19303120672702792,0.044380150350575846,5.998926158301156,145.78573117760624,0.08013694498069496,0.11748009169884169,-8.835714285714282,1047.6714285714284,0.10000000000000009,0.5599999999999999,0
00b1e95f6aea7027,0.2460588067770004,0.2096167504787445,0.4503466486930847,0.3330810070037842,0.1469099372625351,0.1632889658212661,0.1566845327615738,0.2940132617950439,12.070454301693095,9.083176314746956,0.0,0.0894915844090103,1.1876227687121734,18.266022911095703,0.5,0.9,0.03644205629825589,0.0515780475032721,0.11726564168930054,0.15000191524747208,-0.016379028558730996,0.023988771724466437,-0.1373287290334701,0.04606733055006273,2.9872779869461397,109.63806462137423,-0.0894915844090103,0.0,-17.07840014238353,21.693144703035472,-0.4,0.45,0
00b7497b02b3b2bb,0.0813003182411193,0.1774516999721527,0.1927907913923263,0.3456861674785614,0.1907177716493606,0.3396855890750885,0.5351911187171936,0.137176513671875,3.6359293319756425,8.81893063583815,0.1667779632721202,0.2716763005780347,27.052135117909497,19.20809248554913,0.6,0.8,-0.09615138173103341,0.014426879680163636,-0.1528953760862351,0.06664510980157211,-0.1489678174257279,0.06478407860980127,0.3980146050453186,0.07341565181377518,-5.183001303862508,32.06500857550253,-0.10489833730591452,0.04530962007970896,7.844042632360367,519.6199132763771,-0.20000000000000007,0.48,1
00b801e7e1679f2f,0.2664222717285156,0.1885372251272201,0.2767817378044128,0.2463171184062957,0.1534739136695861,0.1959815621376037,0.3033220767974853,0.3691640496253967,4.58362696563774,2.098230088495576,0.1150735294117647,0.1561946902654867,12.731683168316833,19.0,1.0,0.4,0.07788504660129553,0.05023051582378456,0.030464619398117093,0.06817608008346983,-0.042507648468017606,0.030078057348337215,-0.06584197282791138,0.11197560621134524,2.4853968771421644,9.617504013740783,-0.041121160853722014,0.017973874284226962,-6.268316831683167,241.90198019801983,0.6,0.4,0
00bbcd4a6d647fdf,0.1912185698747635,0.079066127538681,0.408816248178482,0.2540755271911621,0.1369628459215164,0.2043004333972931,0.2630023658275604,0.4625579118728637,6.070807279639514,3.0260355029585804,0.0750348675034867,0.3436686390532544,8.544550745911186,22.28,1.0,0.5,0.11215244233608249,0.015118911833482235,0.1547407209873199,0.10387020378026078,-0.0673375874757767,0.027981568781092474,-0.1995555460453033,0.12165382515481936,3.0447717766809332,18.370478359808565,-0.2686337715497677,0.02578713079646454,-13.735449254088815,190.37259061890123,0.5,0.5,1
00be3852000f8fe9,0.5676496028900146,0.0801883339881897,0.143996462225914,0.1281864792108535,0.1622148007154464,0.5831380486488342,0.1261391639709472,0.2084871232509613,6.2804260360772,10.65084564819394,0.0857142857142857,0.4897272861028369,19.10124826629681,42.075,0.7,0.8,0.48746126890182495,0.045518875944807746,0.015809983015060508,0.018458399511558577,-0.42092324793338787,0.09459362235116493,-0.0823479592800141,0.02629839142558409,-4.37041961211674,66.89184831515676,-0.4040130003885512,0.041976624523100296,-22.973751733703192,803.6850208044383,-0.10000000000000009,0.5599999999999999,1
00c6a2ef07ca51da,0.0699122846126556,0.1844404190778732,0.1252536922693252,0.3666366934776306,0.6917452812194824,0.2434365004301071,0.113088734447956,0.2054863423109054,9.992744530774242,9.025974025974026,0.4589103156872159,0.2662337662337662,47.675,17.214285714285715,1.0,1.0,-0.1145281344652176,0.012894651072649744,-0.24138300120830541,0.045922599579490055,0.4483087807893753,0.16839605044911107,-0.0923976078629494,0.023238190398279766,0.9667705048002162,90.19425258296232,0.1926765494534497,0.1221774217089341,30.460714285714282,820.6910714285714,0.0,1.0,0
00ee51bba08b7a08,0.047497671097517,0.1369403302669525,0.1609617173671722,0.2850348949432373,0.5197277069091797,0.3976752460002899,0.2718128561973572,0.1803495734930038,8.720737543057052,10.157174671984482,0.3860240035164112,0.3387959983332225,49.65714285714286,31.690006075334143,0.7,0.8,-0.08944265916943549,0.006504346767005061,-0.12407317757606509,0.04587970619963499,0.12205246090888977,0.2066828436982746,0.09146328270435339,0.04902133268510854,-1.4364371289274303,88.57805449336327,0.047228005183188704,0.13078338765192993,17.967136781808716,1573.6351588265927,-0.10000000000000009,0.5599999999999999,0
00f4b6184f6315d0,0.2133933156728744,0.1042238995432853,0.2874189913272857,0.3540977537631988,0.1931299269199371,0.1819395720958709,0.3060577511787414,0.3597387671470642,8.459999999999999,8.072370766488413,0.08,0.1868092691622103,9.06,31.33333333333333,1.0,0.3,0.1091694161295891,0.02224068349589823,-0.06667876243591309,0.10177441921787618,0.011190354824066218,0.03513797626272017,-0.05368101596832281,0.11010083808484337,0.3876292335115856,68.29225668449197,-0.1068092691622103,0.014944741532976825,-22.273333333333326,283.88,0.7,0.3,0
00fbeda449926c13,0.1515099257230758,0.0612171776592731,0.430613249540329,0.1593060791492462,0.2682288587093353,0.5440393090248108,0.1496479511260986,0.2354374229907989,2.4117117117117117,6.617705570291777,0.1801801801801802,0.3093501326259947,30.1,60.0,0.2,0.2,0.09029274806380272,0.009275010040132804,0.27130717039108276,0.06859930841398575,-0.27581045031547546,0.1459270429527404,-0.08578947186470029,0.03523272796898168,-4.205993858580065,15.959998028532512,-0.1291699524458145,0.05573876263531437,-29.9,1806.0,0.0,0.04000000000000001,1
01100a90b584215d,0.0906692892313003,0.218973234295845,0.5889277458190918,0.4760341346263885,0.1292745023965835,0.1230005100369453,0.1911284625530243,0.1819920986890792,11.55,5.175959933222036,0.1,0.0751252086811352,15.95,3.604841402337229,0.4,0.4,-0.1283039450645447,0.019854147514283257,0.1128936111927033,0.280349709838461,0.0062739923596382,0.015900829729552077,0.00913636386394509,0.03478387001924198,6.374040066777964,59.782337228714525,0.024874791318864803,0.00751252086811352,12.34515859766277,57.4972203672788,0.0,0.16000000000000003,1
0111e6a64b5184c6,0.0161049347370862,0.1771134734153747,0.0442482009530067,0.2667076587677002,0.0570589713752269,0.1641909778118133,0.8825879096984863,0.3919878900051117,8.885423728813558,7.379498022812256,0.2277966101694915,0.1178408264222319,32.2,17.896076768490072,0.5,1.0,-0.16100853867828852,0.002852400930413261,-0.2224594578146935,0.011801334080859139,-0.10713200643658641,0.00936856830303477,0.49060001969337463,0.3459637724667317,1.5059257060013023,65.56996683862876,0.10995578374725959,0.026843740798555872,14.30392323150993,576.2536719453803,-0.5,0.5,1
