fight_id,fighter_id,fighter,kd,sig_str,sig_str_pct,total_str,td,td_pct,sub_att,rev,ctrl,head,body,leg,distance,clinch,ground
26779cfb01372664,99df7d0a2a08a8a8,Jan Blachowicz,0,98 of 153,64%,148 of 210,4 of 4,100%,0,0,8:26,70 of 118,28 of 35,0 of 0,23 of 48,29 of 40,46 of 65
2f736846aebbf12d,75f871836d41f90f,Justin McCully,1,40 of 88,45%,114 of 163,1 of 4,25%,0,0,6:33,29 of 66,4 of 6,7 of 16,24 of 61,16 of 27,0 of 0
2f736846aebbf12d,7f0b4a75ef3039a3,Eddie Sanchez,1,42 of 100,42%,94 of 157,0 of 4,0%,0,0,2:15,28 of 84,11 of 13,3 of 3,18 of 63,22 of 35,2 of 2
9ddaa62cc806958d,6b56e94a59b7b134,Oban Elliott,0,70 of 111,63%,136 of 188,3 of 5,60%,0,0,8:58,60 of 96,7 of 11,3 of 4,33 of 65,3 of 3,34 of 43
9ddaa62cc806958d,7a47e068f8017019,Val Woodburn,1,23 of 61,37%,30 of 70,2 of 2,100%,0,1,1:56,19 of 55,2 of 4,2 of 2,15 of 46,5 of 10,3 of 5
baf17e5e1fe1c744,51018a31ddf31eb2,Molly McCann,0,113 of 238,47%,126 of 252,5 of 14,35%,1,0,3:39,86 of 199,17 of 24,10 of 15,73 of 177,8 of 14,32 of 47
baf17e5e1fe1c744,d7e40dca3ae125be,Diana Belbita,0,98 of 252,38%,104 of 260,1 of 1,100%,0,0,1:26,58 of 201,23 of 31,17 of 20,76 of 219,18 of 29,4 of 4
12740c6b17779fe9,e51fcd9cd84c0b93,Michel Prazeres,0,24 of 34,70%,34 of 45,2 of 3,66%,1,0,1:11,24 of 34,0 of 0,0 of 0,4 of 7,12 of 19,8 of 8
12740c6b17779fe9,6da99156486ed6c2,Joshua Burkman,0,1 of 1,100%,1 of 1,0 of 1,0%,0,0,0:00,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
49ede01b061cfae3,da7f113b5ea39c43,Mohammed Usman,0,85 of 191,44%,118 of 234,1 of 3,33%,0,0,3:07,58 of 156,27 of 35,0 of 0,83 of 186,1 of 3,1 of 2
49ede01b061cfae3,92fa1401b7927da3,Jake Collier,0,87 of 183,47%,100 of 198,0 of 0,---,2,0,0:53,53 of 145,22 of 25,12 of 13,80 of 171,7 of 12,0 of 0
e1e31a8dfa9c27f6,19b7738321cfae42,Mallory Martin,0,22 of 38,57%,48 of 66,1 of 2,50%,1,0,1:14,21 of 37,1 of 1,0 of 0,17 of 32,0 of 0,5 of 6
e1e31a8dfa9c27f6,2244d9a2b64b8c3b,Hannah Cifers,1,49 of 100,49%,75 of 130,0 of 0,---,0,0,1:26,35 of 78,10 of 18,4 of 4,30 of 73,15 of 21,4 of 6
060987bb3025a0a8,d7c3816669784109,Karolina Kowalkiewicz,0,38 of 85,44%,51 of 103,0 of 1,0%,1,0,1:45,19 of 55,7 of 14,12 of 16,35 of 79,3 of 6,0 of 0
060987bb3025a0a8,c41d426cc7326d1b,Yan Xiaonan,0,93 of 178,52%,157 of 254,5 of 6,83%,0,0,5:06,59 of 138,20 of 23,14 of 17,73 of 151,7 of 10,13 of 17
951d11f8684ed734,484acc7b0f856ce9,Ben Saunders,0,30 of 45,66%,54 of 72,0 of 0,---,1,0,0:00,17 of 30,13 of 15,0 of 0,20 of 34,10 of 11,0 of 0
951d11f8684ed734,8a8a84b743ae7699,Dennis Hallman,0,28 of 55,50%,96 of 132,3 of 6,50%,0,0,11:49,24 of 49,1 of 2,3 of 4,3 of 14,4 of 8,21 of 33
55019da3a4bd5d54,b0d6a1d8ac3d563d,Max Griffin,0,74 of 167,44%,82 of 175,0 of 1,0%,0,0,0:32,50 of 135,14 of 21,10 of 11,73 of 166,1 of 1,0 of 0
55019da3a4bd5d54,3d074044a33825e7,Ramiz Brahimaj,0,45 of 123,36%,46 of 124,0 of 0,---,0,0,0:13,40 of 112,3 of 9,2 of 2,45 of 123,0 of 0,0 of 0
e3c9c95b67580b9b,4f2fcbefb668689d,Jake Rosholt,0,21 of 42,50%,38 of 60,3 of 4,75%,1,0,2:24,16 of 36,0 of 0,5 of 6,11 of 26,1 of 3,9 of 13
e3c9c95b67580b9b,d43a048a880efdff,Chris Leben,0,14 of 43,32%,77 of 112,1 of 1,100%,0,0,3:27,6 of 29,0 of 1,8 of 13,12 of 40,0 of 0,2 of 3
dca2a0eb4cd3deac,b0a6124751a56bc4,Jonathan Brookins,0,32 of 67,47%,57 of 95,3 of 13,23%,0,0,9:47,32 of 67,0 of 0,0 of 0,7 of 30,2 of 4,23 of 33
dca2a0eb4cd3deac,511e82663651438d,Michael Johnson,1,30 of 62,48%,38 of 70,0 of 1,0%,0,1,1:15,24 of 55,2 of 3,4 of 4,18 of 44,10 of 13,2 of 5
845e38dfbfea6e53,1ebe20ebbfa15e29,Zhang Weili,1,163 of 217,75%,296 of 358,6 of 7,85%,0,0,16:07,106 of 150,37 of 42,20 of 25,50 of 77,17 of 18,96 of 122
845e38dfbfea6e53,3df5493bb279226f,Amanda Lemos,0,24 of 63,38%,29 of 68,0 of 0,---,2,0,0:34,19 of 57,3 of 4,2 of 2,23 of 61,1 of 2,0 of 0
da26301ae3e7a9b1,fd55393021a8c255,Gunnar Nelson,0,53 of 107,49%,54 of 108,1 of 4,25%,0,0,0:22,39 of 87,12 of 16,2 of 4,49 of 103,4 of 4,0 of 0
